VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,congestion_surcharge,total_amount
2,2025-03-20T15:40:30Z,2025-03-20T15:58:30Z,239,142,2,4.0,1,N,1,21.00,0.00,0.50,0.00,0.00,0.30,2.75,24.55
1,2025-03-13T23:16:45Z,2025-03-13T23:23:45Z,130,140,2,1.3,1,N,2,9.00,0.00,0.50,0.00,0.00,0.30,2.75,12.55
1,2025-03-26T07:45:15Z,2025-03-26T08:02:15Z,230,243,1,1.3,1,N,2,11.50,0.50,0.50,0.00,0.00,0.30,2.75,15.55
2,2025-03-12T13:25:45Z,2025-03-12T13:36:45Z,264,234,5,1.2,1,N,1,8.00,0.00,0.50,2.08,0.00,0.30,2.75,13.63
2,2025-03-14T08:28:00Z,2025-03-14T09:28:00Z,264,39,2,15.2,2,N,1,71.50,0.50,0.50,9.07,0.00,0.30,2.75,84.62
2,2025-03-08T18:23:00Z,2025-03-08T18:44:00Z,263,140,1,4.1,1,N,1,22.00,0.50,0.50,4.69,0.00,0.30,2.75,30.74
1,2025-03-09T18:45:15Z,2025-03-09T19:13:15Z,142,132,1,3.6,1,N,4,18.00,0.50,0.50,0.00,7.00,0.30,2.75,29.05
2,2025-03-28T07:45:45Z,2025-03-28T08:12:45Z,264,186,2,4.2,1,N,1,19.50,0.50,0.50,4.16,0.00,0.30,0.00,24.96
1,2025-03-17T13:26:30Z,2025-03-17T13:40:30Z,263,100,5,1.7,1,N,1,10.00,0.00,0.50,2.03,0.00,0.30,2.75,15.58
1,2025-03-31T15:18:00Z,2025-03-31T15:55:00Z,79,100,1,7.3,1,N,1,37.50,0.00,0.50,7.39,0.00,0.30,2.75,48.44
2,2025-03-19T09:13:30Z,2025-03-19T10:02:30Z,248,264,1,5.2,1,N,1,28.00,0.50,0.50,4.81,0.00,0.30,2.75,36.86
6,2025-03-23T10:55:00Z,2025-03-23T11:12:00Z,163,140,1,2.0,1,N,1,14.00,0.00,0.50,3.16,0.00,0.30,2.75,20.71
6,2025-03-11T08:10:15Z,2025-03-11T09:26:15Z,246,111,1,11.9,2,N,1,58.50,0.50,0.50,7.51,0.00,0.30,2.75,70.06
2,2025-03-05T20:46:00Z,2025-03-05T21:10:00Z,142,246,1,5.8,1,N,1,26.00,0.50,0.50,6.01,0.00,0.30,2.75,36.06
1,2025-03-11T16:23:00Z,2025-03-11T17:00:00Z,48,140,1,4.9,1,N,1,32.00,0.50,0.50,5.41,0.00,0.30,2.75,41.46
2,2025-03-27T15:31:45Z,2025-03-27T16:18:45Z,164,130,1,11.8,1,N,1,57.50,0.00,0.50,0.00,0.00,0.30,2.75,61.05
2,2025-03-16T08:40:45Z,2025-03-16T09:03:45Z,57,246,3,3.0,1,N,1,21.50,0.50,0.50,0.00,0.00,0.30,2.75,25.55
6,2025-03-05T15:35:00Z,2025-03-05T16:22:00Z,68,263,1,13.9,1,N,3,61.00,0.00,0.50,0.00,7.00,0.30,2.75,71.55
2,2025-03-10T18:45:00Z,2025-03-10T19:31:00Z,164,138,1,6.1,1,N,1,26.00,0.50,0.50,5.46,0.00,0.30,0.00,32.76
1,2025-03-21T09:30:00Z,2025-03-21T12:25:00Z,100,237,1,16.9,2,N,1,54.50,0.50,0.50,10.54,0.00,0.30,2.75,69.09
2,2025-03-30T07:41:15Z,2025-03-30T09:17:15Z,46,162,1,21.1,4,N,1,106.50,0.50,0.50,21.65,12.50,0.30,0.00,141.95
2,2025-03-16T08:47:00Z,2025-03-16T09:11:00Z,114,48,1,3.9,1,Y,1,22.50,0.50,0.50,3.98,0.00,0.30,2.75,30.53
1,2025-03-10T16:48:00Z,2025-03-10T17:40:00Z,138,140,3,8.1,2,N,2,59.50,0.50,0.50,0.00,0.00,0.30,2.75,63.55
1,2025-03-09T17:44:00Z,2025-03-09T18:21:00Z,160,114,1,7.5,1,N,1,33.50,0.50,0.50,6.76,0.00,0.30,2.75,44.31
2,2025-03-18T21:48:30Z,2025-03-18T22:02:30Z,79,132,2,0.6,1,N,1,8.00,0.00,0.50,3.34,7.00,0.30,2.75,21.89
1,2025-03-22T08:37:15Z,2025-03-22T10:16:15Z,237,138,1,13.3,1,N,1,60.50,0.50,0.50,16.14,0.00,0.30,2.75,80.69
1,2025-03-30T20:59:15Z,2025-03-30T21:10:15Z,234,230,1,1.9,1,N,2,13.50,0.50,0.50,0.00,0.00,0.30,2.75,17.55
2,2025-03-28T11:11:30Z,2025-03-28T11:35:30Z,238,68,1,3.4,5,N,2,22.50,0.50,0.50,0.00,0.00,0.30,2.75,26.55
2,2025-03-02T19:26:30Z,2025-03-02T19:50:30Z,107,237,3,3.3,1,N,1,20.00,0.50,0.50,3.83,0.00,0.30,0.00,25.13
1,2025-03-19T16:43:00Z,2025-03-19T17:30:00Z,68,90,3,4.9,5,N,1,45.50,0.50,0.50,8.92,0.00,0.30,2.75,58.47
2,2025-03-05T10:11:30Z,2025-03-05T10:29:30Z,212,69,3,3.3,1,N,1,17.00,0.00,0.50,3.56,0.00,0.30,0.00,21.36
2,2025-03-02T09:43:30Z,2025-03-02T10:07:30Z,48,170,3,2.6,1,N,2,19.50,0.50,0.50,0.00,0.00,0.30,2.75,23.55
2,2025-03-13T21:35:00Z,2025-03-13T22:18:00Z,48,264,1,10.6,1,N,1,43.50,0.00,0.50,5.65,0.00,0.30,2.75,52.70
2,2025-03-09T15:37:30Z,2025-03-09T15:53:30Z,68,138,1,1.8,1,N,1,13.00,0.50,0.50,3.07,0.00,0.30,2.75,20.12
6,2025-03-06T21:34:45Z,2025-03-06T21:51:45Z,236,114,1,1.4,1,N,1,11.50,0.00,0.50,2.71,0.00,0.30,2.75,17.76
2,2025-03-16T01:34:30Z,2025-03-16T02:36:30Z,132,264,1,10.3,1,N,1,45.00,0.50,0.50,11.08,12.50,0.30,2.75,72.63
2,2025-03-08T23:14:00Z,2025-03-08T23:31:00Z,230,48,3,1.9,1,N,2,14.50,0.00,0.50,0.00,0.00,0.30,2.75,18.05
2,2025-03-02T08:57:45Z,2025-03-02T09:23:45Z,17,170,1,2.3,1,N,1,16.00,0.50,0.50,4.01,0.00,0.30,2.75,24.06
6,2025-03-23T18:32:45Z,2025-03-23T18:48:45Z,107,263,1,2.3,1,N,2,14.00,0.50,0.50,0.00,0.00,0.30,2.75,18.05
1,2025-03-19T17:05:30Z,2025-03-19T17:26:30Z,140,170,1,3.3,1,N,1,15.00,0.50,0.50,3.43,0.00,0.30,2.75,22.48
2,2025-03-17T13:01:00Z,2025-03-17T13:18:00Z,230,130,1,2.1,1,N,1,12.00,0.00,0.50,2.80,0.00,0.30,2.75,18.35
2,2025-03-03T12:15:45Z,2025-03-03T12:55:45Z,171,195,1,6.4,1,N,1,39.50,0.00,0.50,6.04,0.00,0.30,0.00,46.34
1,2025-03-31T17:30:00Z,2025-03-31T18:39:00Z,125,163,1,6.9,1,N,2,44.00,0.50,0.50,0.00,0.00,0.30,2.75,48.05
2,2025-03-31T18:45:00Z,2025-03-31T19:02:00Z,48,164,1,1.7,1,N,2,13.50,0.50,0.50,0.00,0.00,0.30,2.75,17.55
2,2025-03-17T21:55:45Z,2025-03-18T00:05:45Z,142,162,1,17.1,4,N,1,104.50,0.00,0.50,21.70,12.50,0.30,2.75,142.25
2,2025-03-01T06:14:30Z,2025-03-01T06:27:30Z,138,79,1,3.8,1,N,1,20.00,0.50,0.50,4.81,0.00,0.30,2.75,28.86
2,2025-03-17T14:30:00Z,2025-03-17T15:00:00Z,170,138,2,6.7,1,N,1,30.00,0.50,0.50,6.13,0.00,0.30,2.75,40.18
2,2025-03-13T02:39:00Z,2025-03-13T03:19:00Z,264,141,1,7.9,1,N,1,34.50,0.00,0.50,5.29,0.00,0.30,0.00,40.59
1,2025-03-13T16:37:00Z,2025-03-13T16:59:00Z,107,138,3,3.0,1,N,2,15.50,0.50,0.50,0.00,6.94,0.30,2.75,26.49
2,2025-03-23T21:59:00Z,2025-03-23T22:52:00Z,186,249,1,11.0,1,N,1,52.00,0.00,0.50,0.00,0.00,0.30,2.75,55.55
1,2025-03-25T08:02:00Z,2025-03-25T08:20:00Z,79,141,1,2.2,1,N,1,14.50,0.50,0.50,3.34,0.00,0.30,2.75,21.89
1,2025-03-24T19:48:00Z,2025-03-24T20:07:00Z,141,162,6,1.1,1,N,1,11.50,0.50,0.50,3.11,0.00,0.30,2.75,18.66
1,2025-03-26T05:22:30Z,2025-03-26T05:48:30Z,79,49,1,3.5,1,N,1,19.00,0.00,0.50,3.38,0.00,0.30,2.75,25.93
2,2025-03-27T17:31:00Z,2025-03-27T18:36:00Z,48,130,1,12.1,1,N,1,48.00,0.50,0.50,9.37,0.00,0.30,2.75,61.42
1,2025-03-07T14:20:00Z,2025-03-07T15:13:00Z,237,114,1,6.9,1,N,1,31.50,1.00,0.50,7.21,0.00,0.30,2.75,43.26
2,2025-03-05T20:19:00Z,2025-03-05T20:45:00Z,114,230,3,6.4,1,N,1,23.50,0.50,0.50,0.00,0.00,0.30,2.75,27.55
1,2025-03-19T08:43:15Z,2025-03-19T09:05:15Z,142,141,2,1.9,1,N,4,16.00,0.50,0.50,0.00,0.00,0.30,2.75,20.05
2,2025-03-03T15:00:30Z,2025-03-03T15:46:30Z,138,161,1,7.7,1,N,1,33.00,0.00,0.50,6.58,0.00,0.30,2.75,43.13
2,2025-03-20T10:44:00Z,2025-03-20T11:07:00Z,164,264,2,3.8,1,N,1,22.50,1.00,0.50,2.92,0.00,0.30,0.00,27.22
2,2025-03-28T19:26:00Z,2025-03-28T19:52:00Z,236,237,1,3.3,1,N,4,20.00,0.50,0.50,0.00,0.00,0.30,2.75,24.05
2,2025-03-05T09:19:00Z,2025-03-05T09:32:00Z,114,142,1,2.6,1,N,1,14.50,0.50,0.50,0.00,0.00,0.30,2.75,18.55
1,2025-03-22T18:47:00Z,2025-03-22T19:05:00Z,264,133,2,2.5,1,N,1,14.50,0.50,0.50,2.78,0.00,0.30,2.75,21.33
1,2025-03-03T09:36:45Z,2025-03-03T10:01:45Z,163,100,1,4.8,1,N,1,18.50,0.50,0.50,4.51,0.00,0.30,2.75,27.06
2,2025-03-06T21:54:00Z,2025-03-06T22:10:00Z,130,142,4,4.2,1,N,1,18.50,0.00,0.50,4.41,0.00,0.30,2.75,26.46
1,2025-03-28T10:54:00Z,2025-03-28T11:12:00Z,107,186,1,4.7,1,N,1,25.00,0.00,0.50,5.14,0.00,0.30,2.75,33.69
2,2025-03-08T15:40:45Z,2025-03-08T15:44:45Z,141,162,5,0.4,1,N,1,4.50,0.00,0.50,1.45,0.00,0.30,2.75,9.50
2,2025-03-29T12:47:00Z,2025-03-29T12:55:00Z,138,122,1,0.8,1,N,1,7.50,0.00,0.50,2.17,7.00,0.30,2.75,20.22
1,2025-03-25T16:09:00Z,2025-03-25T16:23:00Z,164,141,1,1.8,1,N,1,12.00,0.50,0.50,2.39,0.00,0.30,0.00,15.69
1,2025-03-02T17:16:00Z,2025-03-02T18:01:00Z,264,141,1,6.9,1,N,2,36.00,0.50,0.50,0.00,0.00,0.30,2.75,40.05
2,2025-03-03T08:41:15Z,2025-03-03T09:03:15Z,26,100,1,2.9,1,N,2,18.50,0.50,0.50,0.00,0.00,0.30,2.75,22.55
2,2025-03-15T20:02:30Z,2025-03-15T20:25:30Z,163,234,1,4.2,1,N,1,25.50,0.50,0.50,5.32,0.00,0.30,2.75,34.87
1,2025-03-16T11:36:30Z,2025-03-16T11:59:30Z,163,48,1,4.4,1,N,1,20.50,0.00,0.50,4.81,0.00,0.30,2.75,28.86
2,2025-03-02T18:14:30Z,2025-03-02T19:29:30Z,100,130,2,12.1,1,N,2,64.50,0.50,0.50,0.00,0.00,0.30,2.75,68.55
1,2025-03-03T05:38:00Z,2025-03-03T06:16:00Z,239,166,1,5.0,1,N,1,23.50,0.50,0.50,4.96,0.00,0.30,2.75,32.51
2,2025-03-11T10:08:00Z,2025-03-11T10:33:00Z,68,107,1,5.8,1,N,1,26.50,0.00,0.50,7.51,0.00,0.30,2.75,37.56
1,2025-03-31T16:54:30Z,2025-03-31T18:15:30Z,48,130,1,12.5,2,N,3,67.50,0.50,0.50,0.00,0.00,0.30,2.75,71.55
1,2025-03-01T09:15:45Z,2025-03-01T10:18:45Z,239,253,1,7.4,1,N,1,45.50,0.50,0.50,8.92,0.00,0.30,2.75,58.47
1,2025-03-26T19:18:00Z,2025-03-26T19:37:00Z,68,48,5,3.1,1,N,1,18.50,0.50,0.50,4.06,0.00,0.30,2.75,26.61
1,2025-03-30T18:16:45Z,2025-03-30T18:28:45Z,186,142,1,2.0,1,N,1,10.50,0.50,0.50,2.91,0.00,0.30,2.75,17.46
2,2025-03-10T19:30:15Z,2025-03-10T19:51:15Z,239,163,1,3.5,1,N,1,18.00,0.50,0.50,4.41,0.00,0.30,2.75,26.46
2,2025-03-14T22:37:00Z,2025-03-14T22:56:00Z,244,162,3,3.7,1,N,1,20.50,0.50,0.50,4.42,0.00,0.30,2.75,28.97
2,2025-03-04T22:28:00Z,2025-03-04T22:44:00Z,138,114,1,1.5,1,N,1,11.00,0.00,0.50,3.88,7.00,0.30,2.75,25.43
2,2025-03-30T20:50:45Z,2025-03-30T22:07:45Z,263,52,1,11.4,1,N,1,55.00,0.50,0.50,10.63,0.00,0.30,2.75,69.68
1,2025-03-16T16:30:00Z,2025-03-16T17:25:00Z,170,237,1,6.4,1,N,1,37.00,0.50,0.50,10.26,0.00,0.30,2.75,51.31
2,2025-03-15T18:20:00Z,2025-03-15T19:30:00Z,48,186,1,8.1,1,N,1,46.50,0.50,0.50,0.00,0.00,0.30,2.75,50.55
1,2025-03-07T20:12:00Z,2025-03-07T21:25:00Z,259,141,1,14.8,2,N,1,63.00,0.50,0.50,13.41,0.00,0.30,2.75,80.46
1,2025-03-09T18:44:00Z,2025-03-09T19:23:00Z,116,163,1,5.5,1,N,1,26.50,0.50,0.50,6.11,0.00,0.30,2.75,36.66
2,2025-03-08T09:51:00Z,2025-03-08T10:17:00Z,161,138,2,4.1,1,N,2,26.50,0.50,0.50,0.00,0.00,0.30,2.75,30.55
1,2025-03-10T10:06:15Z,2025-03-10T10:43:15Z,114,140,6,4.0,1,N,2,25.50,0.00,0.50,0.00,0.00,0.30,2.75,29.05
2,2025-03-01T17:18:00Z,2025-03-01T18:08:00Z,170,162,1,6.9,1,Y,1,31.50,0.50,0.50,6.40,0.00,0.30,2.75,41.95
1,2025-03-10T06:08:45Z,2025-03-10T06:31:45Z,142,162,2,5.7,1,N,1,23.50,0.50,0.50,4.96,0.00,0.30,2.75,32.51
1,2025-03-28T17:37:30Z,2025-03-28T18:02:30Z,237,78,3,2.3,1,N,2,15.00,0.50,0.50,0.00,0.00,0.30,2.75,19.05
6,2025-03-25T06:21:45Z,2025-03-25T08:07:45Z,100,48,1,16.3,1,N,1,76.00,0.50,0.50,14.41,0.00,0.30,2.75,94.46
2,2025-03-24T12:00:00Z,2025-03-24T12:26:00Z,186,141,1,2.8,1,N,1,16.00,0.50,0.50,3.01,0.00,0.30,2.75,23.06
6,2025-03-29T17:08:00Z,2025-03-29T17:32:00Z,236,130,1,1.3,1,N,1,13.50,0.50,0.50,3.16,0.00,0.30,2.75,20.71
2,2025-03-20T23:42:00Z,2025-03-21T00:24:00Z,48,161,1,7.0,1,N,1,34.50,0.00,0.50,7.61,0.00,0.30,2.75,45.66
1,2025-03-04T15:39:00Z,2025-03-04T15:55:00Z,104,234,2,3.0,1,N,1,17.50,0.00,0.50,4.21,0.00,0.30,2.75,25.26
